plateifu,Predicted_Class,Actual_Class,Type
8252_1901,E,E,Edc        
9041_1902,S,S,Sb         
7815_12702,S,S,SABbc      
10492_3704,S,S,SABab      
9194_3701,E,E,Edc        
11747_3703,S,S,Sbc        
12651_3701,S,S,SABb       
8623_12703,S,S,SABb       
10520_3701,S,S,Sbc        
8657_3701,E,S,SABab      
10511_3701,S,S,Sc         
11958_12702,S,S,Sab        
8618_12701,S,S,Sd         
11024_12704,S,S,SABa       
8935_6102,S,E,Edc        
10500_3703,S,S,SABab      
11948_12702,S,S,Sbc        
11866_1902,S,S,SABc       
8983_1902,E,E,Edc        
8598_1901,S,S,SABc       
11834_6104,S,S,Sbc        
8083_1901,E,S,Sb         
8140_6102,S,S,Sab        
11753_6101,E,E,Edc        
11754_9102,S,S,Sa         
8936_1902,S,S,Sa         
8330_12704,S,S,Sc         
9894_12704,S,S,SABc       
8097_9101,E,E,E          
8481_1901,E,E,Edc        
9036_3704,E,E,Edc        
11745_12705,S,S,SBb        
12079_6104,E,E,E          
10518_12703,S,S,Sbc        
8595_12703,S,S,Sc         
10216_12703,S,S,SABbc      
8326_12703,S,S,SABc       
9875_9102,E,E,E          
9887_3703,S,S,SABb       
11962_3701,E,S,SABa       
8239_3703,E,E,E          
12090_9101,S,S,Sbc        
8144_3702,S,E,Edc        
9487_9101,S,S,SBab       
11867_3703,E,S,SABa       
11983_6101,E,E,Edc        
8258_12704,S,S,SBab       
8465_12705,S,S,SBb        
7981_9101,S,S,Sbc        
8550_6101,E,E,Edc        
9494_12701,S,S,Sc         
8331_3701,E,E,E          
8946_6103,S,S,SBc        
10520_3704,E,S,SABa       
8456_9102,S,S,Sbc        
8326_12702,S,S,Sbc        
8249_6101,S,S,SBb        
8613_12703,S,S,S-merger   
9871_6103,S,S,Sb         
8551_12701,S,S,SABbc      
8566_3701,S,S,Sa         
10846_12703,E,E,E          
8654_12704,S,S,SBbc       
12089_6101,S,S,SABab      
8711_12705,S,S,Sc         
10516_3704,S,S,Sab        
8082_12702,S,S,SABab      
8481_6101,E,E,E          
8158_12705,S,S,Scd        
11760_1902,E,E,Edc        
9049_9101,S,S,Sb         
8609_12703,S,S,SBab       
8652_12702,S,S,SABb       
9192_12701,S,S,SABbc      
8722_12702,E,S,SBab       
12511_6102,E,E,E          
8439_6103,S,S,Sb         
9048_12703,S,S,Sc         
8464_12702,S,S,Sbc        
11865_1901,S,S,SABab      
8484_9102,E,E,E          
9027_12702,S,S,Scd        
8453_6102,S,S,SBdm       
8253_3702,S,S,Sab        
10492_12703,S,S,Sab        
8335_6104,S,S,SABab      
7957_6104,S,S,SBc        
8312_12704,S,S,SBab       
9890_6102,S,S,Sab        
8328_3702,E,E,E          
8334_12701,S,S,Sc         
11830_9102,S,S,SABab      
10494_3701,S,S,Sb         
11955_3703,S,S,Sd         
8710_3704,S,S,SABa       
8562_6102,S,S,Sab        
11947_12704,S,S,SABa       
8312_3704,E,S,SBab       
12682_3701,E,E,Edc        
9893_6102,S,S,Sab        
11019_3704,S,E,E          
10496_12702,S,S,SABb       
10839_3704,S,S,Sb         
11979_12705,S,S,SBb        
12685_12702,S,S,Sbc        
8982_12703,S,S,SBd        
11940_9102,S,S,Sbc        
7990_12702,S,S,Sc         
9194_12705,S,S,Scd        
10222_1901,S,E,E          
9869_12703,S,S,Sab        
9191_12702,S,S,SABbc      
9001_12703,E,E,E          
8939_12702,S,S,Sa         
8997_12703,S,S,Sc         
9042_12701,S,S,Scd        
8591_6101,E,E,Edc        
8952_9101,S,S,Sa         
8601_3702,S,S,SBa        
9486_12703,S,S,Sbc        
9024_12701,S,S,Sb         
9870_12702,S,S,SBm        
12485_12703,S,S,SBab       
11982_12701,S,S,Sc         
8623_3702,S,S,Sa         
8933_6104,E,E,E          
8549_12701,S,S,SBab       
11976_3703,S,S,SBb        
11016_9102,S,S,Sbc        
7964_6102,S,S,SBcd       
8977_9102,S,S,SABab      
8616_6102,S,S,SABcd      
8566_1902,S,S,SBa        
8652_12703,S,S,SABc       
11831_12702,S,S,SBb        
11965_6103,S,S,Sb         
12081_6102,S,S,SABc       
7975_12702,E,E,E          
12518_6104,E,E,E          
8146_6103,S,S,SABc       
11747_12704,E,E,E          
12518_6103,S,S,SABb       
9510_6103,S,S,SBcd       
9032_12702,S,S,SBa        
8335_12702,S,S,SABc       
12087_6104,S,S,Sab        
11751_3704,S,E,Edc        
9034_3703,S,S,Sa         
8252_12701,S,S,SBm        
12079_3701,S,S,SABcd      
8442_6102,S,S,Scd        
11747_1902,E,E,E          
9032_12701,S,S,SBab       
8158_12704,E,E,Edc        
8932_3703,S,S,Sb         
9868_1901,E,E,E          
8604_12705,E,S,Sab        
10516_12704,S,S,SABc       
11944_9102,E,E,E          
12673_3702,S,S,SABab      
8241_6104,E,E,Edc        
11746_12702,S,S,SABc       
8250_9102,S,S,Sa         
9867_6101,S,S,SABb       
11863_6103,E,S,SABa       
12071_1902,S,S,Sa         
11871_12703,S,S,SBbc       
8466_9102,S,S,Scd        
9094_1902,S,S,Sm         
8654_6102,S,S,SABab      
9498_3704,E,E,Edc        
8465_12702,S,S,Sc         
11744_6104,E,E,E          
11952_9101,S,E,Edc        
8329_12701,S,S,Sc         
8565_1902,S,E,Edc        
8610_1902,E,E,Edc        
8256_12705,E,E,Edc        
10519_3702,E,S,Sa         
9095_12701,S,S,SBab       
9503_6104,S,S,SABbc      
8259_12705,E,E,E          
12080_12703,S,S,Scd        
11011_12705,S,S,Scd        
7965_6103,S,S,SABab      
8449_12701,S,S,SBd        
9872_6103,S,S,Sd         
10223_3704,S,S,SABa       
11963_9101,S,S,SABa       
8983_6104,S,S,Sa         
9185_3703,E,E,Edc        
8950_3704,S,S,Sbc        
8141_9102,S,S,SABc       
8486_12705,E,S,Sb         
8606_12701,S,S,SBc        
8332_9101,S,S,Sbc        
11868_3704,E,E,E          
12685_12705,S,S,Sbc        
11950_12704,S,S,Sc         
11952_1901,S,S,Sbc        
12485_3703,E,E,E          
8322_1902,S,S,Sa         
11024_12701,E,E,E          
9189_12703,S,S,Sc         
8097_6103,E,E,E          
11754_6104,S,S,SABa       
8438_6104,S,S,Sab        
8085_12704,S,S,SABbc      
8258_12701,S,S,SABc       
8334_6103,S,S,Sab        
9499_9101,S,S,Sab        
11949_12704,S,S,Sa         
8567_3703,S,S,SBa        
8711_3702,E,E,E          
8337_12703,S,S,SABc       
8984_12703,S,S,Sc         
8466_1901,S,S,Sa         
8148_3704,E,S,S-merger   
12084_3702,S,S,SBb        
9871_6101,S,S,SABb       
8725_12702,S,S,Sb         
12683_9101,S,S,SABab      
8329_9102,S,S,Sb         
10510_3703,E,E,E          
8137_9101,E,E,E          
11012_1902,S,S,Sa         
11942_6104,S,S,Sbc        
8553_9102,S,S,Sc         
9186_12702,S,S,Sc         
8454_1901,E,E,E          
8614_6102,S,S,Sb         
12483_6102,S,S,Sbc        
11004_3702,S,S,SABc       
10515_9101,S,S,SABcd      
9193_12704,S,S,Sa         
7981_12701,E,E,E          
8989_6102,S,S,Scd        
12483_3703,S,S,Sc         
11957_6103,S,S,SBbc       
8321_12703,S,S,SABbc      
8325_3701,S,S,SBab       
12512_3703,S,E,Edc        
8257_12705,S,S,Sc         
7992_6102,S,S,SBdm       
8082_6104,E,E,Edc        
9882_12705,S,S,Sbc        
9189_12704,S,S,SABc       
10498_3703,E,E,E          
8484_1902,S,S,SABbc      
8093_12704,S,S,SABbc      
9877_12701,E,S,SBa        
8588_6101,S,S,Sab        
12089_3704,E,E,Edc        
9045_9102,E,E,Edc        
9513_12702,S,S,SABc       
9188_6102,S,S,Sbc        
7981_6101,S,S,SBcd       
9504_6103,S,S,Sc         
11868_3703,E,E,E          
10222_12703,S,S,Sb         
11833_12703,S,S,Sc         
12506_6101,S,S,Scd        
9496_9101,S,S,Sbc        
9001_6101,S,S,SABd       
11024_6101,S,S,Sc         
9512_12702,E,E,Edc        
8443_9102,S,S,Sc         
7960_12702,S,S,Sc         
12066_12701,S,S,SABbc      
10838_3704,E,E,E          
8442_12701,S,S,Sc         
12667_12701,S,S,SABab      
11982_6104,S,S,SBbc       
8095_12704,S,S,SABbc      
10517_6104,S,S,Sc         
11939_12703,S,S,Sb         
8714_12701,E,E,Edc        
8597_9102,S,S,Sbc        
8255_12704,S,S,Sbc        
11834_6102,S,S,SABc       
8602_6102,S,S,SABc       
12491_3703,S,S,SABa       
11018_12705,S,E,E          
9864_1902,E,E,Edc        
10493_6103,E,E,E          
9038_12705,S,S,Sbc        
9889_1902,S,S,SABb       
8601_12705,S,S,SBab       
12067_9102,E,E,Edc        
12483_9101,S,S,Sc         
8454_1902,E,E,E          
12489_12703,S,S,Sc         
10496_6101,S,S,Sbc        
8438_12704,S,S,Sc         
11834_6103,S,S,SABb       
9498_3702,S,S,SABa       
8132_12703,S,S,SBbc       
9876_6102,S,S,Sa         
9865_3704,S,S,Sa         
9050_12702,E,E,Edc        
9508_12703,E,S,SBa        
11951_12704,S,S,SABb       
8456_12705,S,S,Sc         
8459_12703,S,S,SABb       
8487_12701,S,S,SABcd      
8091_3702,S,S,Sa         
9196_12705,E,E,Edc        
11754_6101,S,S,SABab      
11748_12705,S,S,Sa         
8652_3701,S,S,SABab      
9507_6102,S,S,Sc         
11025_9101,S,S,SBdm       
8601_9101,S,S,Sc         
10497_3704,S,S,Sbc        
9886_9102,E,E,Edc        
11951_6101,E,E,E          
11942_12701,S,S,Sbc        
8941_9102,S,S,Sa         
9188_6101,E,E,E          
12071_6102,S,S,SBc        
8484_12702,S,S,SABb       
9491_12704,S,S,Sb         
8951_6101,S,S,SBab       
11823_1902,S,E,Edc        
9867_12702,S,S,SABbc      
9889_3702,S,E,Edc        
8484_6104,S,S,SABcd      
8567_9102,S,S,Sb         
8141_1902,S,S,Sa         
11978_3703,S,E,Edc        
9894_9101,E,E,E          
8482_6103,E,E,Edc        
11010_9101,S,S,SABcd      
11828_6102,S,S,SABab      
8458_6102,S,S,Sd         
9887_12701,S,S,Sbc        
11006_6104,S,S,Sb         
8247_6101,S,E,Edc        
8725_1902,E,E,Edc        
8617_3703,E,E,Edc        
12488_1901,S,S,Sa         
8133_6102,E,S,Sc         
7993_12705,S,S,Sc         
8156_12705,S,S,Sd         
8609_12701,S,S,SBab       
7962_3703,S,S,Sa         
8995_12701,E,E,Edc        
8245_9101,S,S,SABd       
8080_9102,S,S,SBb        
7815_3702,S,S,SABab      
9046_1901,S,S,Sa         
8157_12705,S,S,SBab       
8321_9102,S,S,Sb         
9509_12701,S,S,Sc         
9880_6102,S,S,Sab        
11868_12701,S,S,Scd        
8598_1902,S,S,Sa         
7981_3701,E,E,E          
9184_6101,S,E,E          
8617_9102,E,E,Edc        
9497_12703,S,S,SBbc       
8441_12701,S,S,Sbc        
8461_12701,E,E,Edc        
8724_12704,S,S,Sbc        
8721_1901,S,E,E          
12487_6101,S,S,SBa        
12066_6101,S,S,Sa         
9000_12701,E,E,E          
8600_12701,S,S,SBc        
8651_1902,S,S,SABab      
9884_12705,S,S,SBb        
12090_12701,S,S,Sbc        
8934_3702,S,E,E          
8446_12704,S,S,SABb       
8315_6102,E,E,E          
8598_12705,S,S,Sb         
12514_12703,S,S,Sc         
10213_12704,E,E,Edc        
8459_1901,S,S,Sab        
8713_3703,S,E,Edc        
11953_12704,S,S,Sc         
8095_3704,E,E,E          
11872_12702,S,S,SBb        
8612_12705,S,S,SBb        
11752_12702,S,S,Sbc        
7991_12701,S,S,SABc       
11760_3702,S,S,SBb        
11020_3701,E,S,SABa       
8485_12701,S,S,SABcd      
11956_1901,E,S,Sab        
8553_12704,S,S,Sbc        
8085_6104,S,S,SAB        
8943_3701,E,E,Edc        
10001_9101,S,S,SBd        
8652_12705,S,S,Sc         
9002_12705,S,S,SABc       
12510_3701,S,S,Sb         
7443_9101,S,S,SABbc      
9505_12704,S,S,SBbc       
8149_9102,S,S,SABab      
8091_12704,S,S,SABb       
8087_12704,S,S,SABc       
8325_6103,E,E,E          
8941_12701,S,S,Sbc        
8465_12704,S,S,Sb         
9041_3701,E,E,E          
9085_9101,S,S,SBab       
8939_1901,E,E,Edc        
8240_6101,S,S,SABc       
9510_9101,S,S,SABb       
12082_12704,S,S,SABd       
8981_3701,E,S,Sa         
8249_12704,S,S,Sc         
11958_6102,S,S,SBb        
11754_9101,E,E,Edc        
8248_3701,S,S,SBa        
8450_12702,S,S,SBcd       
8996_6101,S,S,Sbc        
8601_12702,S,S,SBcd       
8077_12703,S,S,SBab       
8252_3701,S,S,Sa         
12683_12703,S,S,Sbc        
9030_12704,S,S,SABc       
12682_12701,E,E,E          
8447_3702,E,E,Edc        
8447_12703,S,S,SABc       
8083_12701,S,S,Sc         
11978_6103,S,E,Edc        
8617_12701,S,S,SABbc      
8259_3702,S,S,Sab        
9892_12701,S,S,SABb       
8616_12702,S,S,SBab       
7963_12703,S,S,Sbc        
8944_12703,S,S,Sc         
9872_3702,S,S,SBcd       
8091_12703,S,S,Sbc        
8984_12704,S,S,SBab       
10001_3702,S,E,E          
8978_12701,S,S,Scd        
8143_3704,E,E,E          
8239_12704,S,S,SBd        
11015_12702,S,S,Sb         
9086_12704,S,S,SABb       
9872_9101,S,S,SABb       
10001_3704,S,E,E          
8936_12705,S,S,SABa       
9087_3703,E,E,Edc        
8554_12705,S,S,SBab       
11759_6101,S,S,Scd        
8483_6104,E,E,Edc        
8158_3702,E,S,Sc         
10519_1901,S,S,SABa       
9499_6101,S,S,SBab       
8330_6104,E,E,Edc        
11748_3702,S,S,SABa       
11948_6101,S,S,Sab        
11760_12703,S,S,SABb       
12092_9102,S,S,SABcd      
8320_9101,S,S,Sc         
8464_12703,S,S,Scd        
8243_12705,S,S,SBc        
9024_6104,E,E,Edc        
9505_1901,E,E,Edc        
12090_6104,E,E,Edc        
10223_3703,S,S,SBab       
9087_6103,E,E,E          
9196_6102,E,E,E          
8140_3704,E,E,E          
8993_6103,E,E,E          
8563_3701,S,S,SABcd      
11749_12701,S,S,SABc       
9002_6104,E,E,Edc        
8567_12704,S,S,Sab        
11960_12705,S,S,SBb        
8977_6102,S,S,SABbc      
9087_12701,S,S,SBbc       
8998_12704,S,S,SABc       
9002_3701,E,E,Edc        
10841_12702,S,S,SABcd      
11019_12704,S,S,Sab        
8143_9102,S,S,SABc       
10509_9102,E,E,E          
9866_9101,E,E,E          
9181_3703,S,S,Sc         
8550_1901,E,E,Edc        
12682_1901,E,E,Edc        
8992_9102,S,E,E          
8711_12704,S,E,Edc        
12685_1901,S,E,E          
11761_6101,S,S,Sa         
8934_12702,S,S,SBbc       
8562_9101,E,S,Sa         
11826_9101,S,S,SABcd      
8711_6104,S,S,Sb         
8455_3701,S,S,SBcd       
10494_9102,S,S,SBb        
8486_6102,S,S,Sd         
8547_12701,S,S,SBa        
9498_1901,E,E,Edc        
8250_3703,S,E,Edc        
8144_12705,S,S,Sc         
7958_12704,S,S,SABc       
8338_9101,S,S,SBbc       
9025_6102,E,E,E          
9037_12703,S,S,Sc         
9046_12704,S,S,Sab        
9486_6104,E,E,E          
11824_6103,E,E,E          
10222_6101,S,S,Sab        
10501_12704,S,S,Sc         
11018_6101,S,S,Sbc        
12769_3701,E,S,SBa        
8310_6101,E,E,E          
9506_6103,E,E,E          
8328_3703,E,E,E          
7958_6101,S,S,SBb        
9498_1902,S,S,SABab      
11981_12705,E,E,E          
8254_6102,S,S,Sbc        
7957_12703,S,S,Sa         
8153_12702,S,S,Sb         
11968_6102,S,S,SBa        
11021_6104,E,E,E          
9188_9102,S,S,Sd         
8944_6103,S,S,Sa         
8565_12702,E,E,E          
8937_12705,E,E,E          
8254_12704,S,S,SABbc      
12673_3701,E,E,E          
8712_1901,S,S,SBa        
9868_9102,S,S,SABbc      
11977_12701,S,S,Sbc        
10838_12705,S,S,Sb         
11942_9101,S,S,SABc       
9192_1901,S,S,Sab        
8941_1901,S,S,SBbc       
8252_3703,S,S,SABc       
8330_6101,S,E,Edc        
8609_6102,E,E,Edc        
7980_6102,S,S,SBb        
8319_1901,E,E,E          
11943_6103,E,E,Edc        
8324_6104,S,S,SABab      
8250_12704,S,S,S          
12624_12704,S,S,SABd       
11742_6103,E,E,E          
12075_1901,E,E,E          
9503_12704,S,S,SABbc      
12673_9101,S,S,Sc         
8134_6101,E,E,E          
12652_3704,S,E,E          
8439_1901,S,E,Edc        
9502_9101,E,E,Edc        
8596_6101,S,S,SABb       
9093_12704,S,S,Sbc        
12769_12703,S,S,SABc       
8602_6101,S,S,Sc         
9040_12703,S,S,Sd         
11970_6102,S,S,SBb        
8321_12704,S,S,SABab      
8143_6101,S,S,SABa       
11982_6102,S,S,SBbc       
8462_12703,S,S,SBcd       
8610_12703,S,S,SABb       
9093_12702,S,S,SABcd      
9050_9102,S,S,Sab        
8623_1901,S,S,SBab       
10501_3703,S,S,Sbc        
11977_3703,E,E,Edc        
9031_12704,S,S,Sc         
11009_9101,S,S,SBab       
12512_6103,E,E,Edc        
8321_12705,S,S,SABb       
11753_3702,S,S,SABb       
10513_12704,S,S,SBab       
11942_6102,S,S,SBcd       
12495_6103,S,S,SABb       
8087_1902,E,E,Edc        
9027_12704,S,S,SBa        
11010_6103,S,S,SBd        
7443_3704,S,S,SABa       
8618_6104,E,E,Edc        
8656_6104,S,S,SABb       
8596_3701,S,S,Sa         
8714_3702,E,E,Edc        
8083_1902,E,E,Edc        
8448_12705,S,S,SBd        
8948_6101,S,S,Sbc        
8931_1901,E,S,SBa        
9492_12704,S,S,SBb        
10508_12705,S,S,SBb        
8152_6103,E,E,E          
8461_3702,E,E,Edc        
9035_6101,E,S,Sa         
9867_12705,E,E,Edc        
8154_12704,S,S,SABab      
8241_3704,S,S,Sbc        
8147_3703,S,S,Sa         
8333_3703,E,E,Edc        
12487_3703,S,S,SABb       
8448_9101,S,S,Sbc        
8154_6102,S,S,SBdm       
11004_12703,S,S,Sb         
8939_6102,S,S,SABcd      
10837_12701,S,S,Sm         
8310_3704,S,S,SABbc      
8933_12701,S,S,Sb         
8553_3702,E,E,E          
12094_12702,S,S,SABb       
9045_3701,E,S,Sa         
8331_3702,E,E,Edc        
8332_3702,S,S,Sb         
8134_12704,S,S,SABbc      
9184_1902,S,S,Sab        
11866_9102,S,S,SABc       
8945_12704,S,S,Sd         
8983_3704,S,S,SBab       
8239_1901,S,S,Sab        
10498_9102,E,E,E          
10845_6101,S,S,Sb         
8443_6102,S,S,SBa        
11956_12705,S,S,Sc         
8561_9101,S,S,Sc         
8152_12702,S,S,Sd         
11976_12701,S,S,SABbc      
11981_12702,S,S,SABc       
8261_12704,S,S,Sc         
9094_12701,S,S,Sbc        
11835_3701,E,E,E          
8569_12705,S,S,Sc         
11011_12703,S,S,SBb        
8952_3701,S,S,SBab       
9196_12703,S,S,SBb        
8243_12701,S,S,Sbc        
8084_3702,S,S,Sb         
12088_12701,S,S,SABb       
12087_12701,S,S,Sbc        
12071_6103,E,E,Edc        
11866_6104,E,E,E          
8979_12702,E,E,Edc        
10492_12702,S,S,SABb       
9489_6102,S,S,SBab       
11940_1901,S,S,S          
8328_1902,S,S,Sa         
12090_6102,S,S,Sa         
10502_6101,E,E,Edc        
8149_3701,S,S,SBa        
8613_3704,E,E,E          
11954_12702,S,S,SABab      
8134_9102,S,S,SBab       
8549_9102,S,S,Sbc        
9495_12703,S,S,Scd        
8314_12702,S,S,SABb       
11958_12703,E,E,E          
9034_9101,S,S,Sa         
9889_12704,S,S,Sbc        
10214_9101,E,E,Edc        
10221_6101,S,S,SBd        
9182_6101,S,S,SBab       
11743_12705,S,S,SABc       
12483_12703,S,S,SABbc      
8592_6104,S,S,Sb         
9878_12705,S,S,Sb         
11838_12702,S,S,Sb         
12487_6104,S,S,SBa        
8950_9102,S,S,Sa         
9086_3703,S,S,Sb         
8329_3704,S,S,Sab        
12651_12704,E,E,E          
12652_9102,S,S,SABab      
9882_6102,S,S,SBab       
11824_12705,S,S,Sc         
8987_9101,S,S,SABb       
8153_6104,E,E,Edc        
8612_9101,S,S,SABc       
11755_9102,S,S,SABbc      
8329_12702,S,S,Scd        
7965_3704,S,S,Sc         
9196_3703,S,S,SBa        
8323_6101,S,S,SBab       
11021_6103,S,S,SABcd      
9503_12705,S,S,SABd       
8093_12702,S,S,SABdm      
9499_12705,S,S,Sab        
11826_12703,S,S,Scd        
12674_9101,S,S,Sb         
9048_3704,S,E,Edc        
10507_6102,S,S,Sbc        
11018_12704,S,S,SABc       
9509_6102,E,E,E          
12487_12702,E,E,E          
9039_3704,E,E,Edc        
8247_1901,E,E,E          
8321_3704,E,E,E          
8078_9102,S,S,Sa         
8134_12705,S,S,Sbc        
7964_12703,S,S,SABa       
11871_12701,S,S,Sbc        
8146_3703,S,S,SABab      
8080_12703,S,S,SABbc      
10499_12704,S,S,SABab      
8624_9101,S,S,Sc         
8713_6104,S,S,Sc         
10498_12705,S,S,SABc       
8657_6101,S,S,SBab       
8133_12702,S,S,Sab        
9863_6103,S,S,Sab        
8326_3704,S,S,SBa        
8454_9101,S,E,Edc        
12084_6103,E,E,Edc        
11948_9102,S,S,Scd        
8326_12705,S,S,SBcd       
12651_9101,S,S,SBab       
8135_1901,S,E,Edc        
8591_12701,S,S,SBcd       
8333_12705,S,S,Sc         
9088_1901,S,S,Scd        
8992_6104,E,E,Edc        
8624_6104,E,E,E          
12510_6103,S,E,E          
9503_12703,S,S,SABd       
12078_6103,S,S,Sbc        
8317_12703,S,S,Sb         
8249_3702,S,S,Sab        
8554_9101,S,S,SBd        
8485_3702,S,S,SABc       
9494_3701,S,S,Sa         
9044_6101,S,S,Sbc        
10838_12704,S,S,Scd        
12487_12701,S,S,Sc         
11970_12703,S,S,Sbc        
8134_12701,S,S,SBc        
11953_3703,E,E,E          
11940_12702,S,S,SAB-merger 
9485_1902,S,E,E          
8320_1902,E,E,Edc        
8075_12701,S,S,Sc         
8317_12702,E,E,Edc        
8149_6102,S,S,Sc         
8657_9101,S,S,Scd        
8447_6102,E,E,Edc        
10508_9102,E,S,Sa         
8444_12705,S,S,SABdm      
9000_12705,S,S,Sc         
11943_12702,S,S,Sa         
12079_12702,S,S,Sc         
10223_12705,S,S,Sc         
12620_12704,S,S,Sc         
8309_6102,E,E,Edc        
9029_3701,E,S,Sb         
8717_3701,E,E,E          
7964_12702,S,S,SABab      
9091_12704,S,S,SABb       
12489_6103,S,S,Sbc        
